Time	EMG	Muscle Force
0.509	0.0157859	0.26709
0.51	0.0202671	0.26709
0.511	-0.0192593	0.26709
0.512	-0.0265662	0.26709
0.513	-0.00297677	0.26709
0.514	0.0173359	0.26709
0.515	-0.00432372	0.26709
0.516	-0.0412159	0.26709
0.517	0.000475142	0.26709
0.518	0.00455202	0.26709
0.519	0.0307583	0.26709
0.52	0.0453793	0.26709
0.521	0.0225189	0.26709
0.522	-0.0184467	0.26709
0.523	-0.0597127	0.26709
0.524	-0.0356651	0.26709
0.525	-0.012068	0.26709
0.526	0.00926503	0.26709
0.527	0.0653053	0.26709
0.528	0.0295682	0.26709
0.529	-0.0152177	0.26709
0.53	-0.0020936	0.26709
0.531	0.00677868	0.26709
0.532	-0.0703853	0.26709
0.533	-0.0250151	0.26709
0.534	0.0324574	0.26709
0.535	0.0155573	0.26709
0.536	0.053567	0.26709
0.537	0.0118105	0.26709
0.538	-0.0557934	0.26709
0.539	-0.0433693	0.26709
0.54	0.0368539	0.26709
0.541	0.0256148	0.26709
0.542	-0.00838701	0.26709
0.543	0.0111235	0.26709
0.544	0.035239	0.26709
0.545	-0.0629302	0.26709
0.546	-0.0746772	0.26746
0.547	-0.0202379	0.26709
0.548	0.0641836	0.26709
0.549	0.0699169	0.26709
0.55	0.0901416	0.26709
0.551	0.0332226	0.26709
0.552	-0.104189	0.26746
0.553	-0.0749181	0.26709
0.554	-0.0961649	0.26709
0.555	-0.0996032	0.26709
0.556	0.108353	0.26709
0.557	0.195985	0.26709
0.558	0.0701403	0.26709
0.559	-0.0132243	0.26709
0.56	-0.0561995	0.26746
0.561	-0.111439	0.26709
0.562	-0.0972772	0.26709
0.563	0.00503411	0.26709
0.564	0.0799454	0.26746
0.565	0.0732269	0.26709
0.566	0.0278745	0.26709
0.567	-0.0227009	0.26709
0.568	-0.0469623	0.26709
0.569	-0.0114718	0.26709
0.57	0.0408605	0.26746
0.571	0.00706438	0.26709
0.572	-0.0197858	0.26709
0.573	-0.0398964	0.26709
0.574	-0.0376777	0.26709
0.575	0.0534964	0.26746
0.576	0.0531727	0.26709
0.577	0.0193942	0.26709
0.578	-0.0267489	0.26709
0.579	-0.049297	0.26709
0.58	-0.0191271	0.26709
0.581	-0.0145597	0.26709
0.582	0.0203554	0.26709
0.583	0.0718523	0.26709
0.584	0.0412744	0.26709
0.585	-0.0478191	0.26709
0.586	-0.0386726	0.26709
0.587	0.00293638	0.26709
0.588	-0.0290766	0.26709
0.589	-0.0273654	0.26709
0.59	0.0166182	0.26746
0.591	0.0155925	0.26709
0.592	0.037448	0.26709
0.593	0.0719516	0.26709
0.594	0.0315657	0.26709
0.595	-0.10282	0.26709
0.596	-0.074954	0.26709
0.597	0.063683	0.26746
0.598	-0.0289878	0.26709
0.599	-0.064982	0.26746
0.6	0.0732533	0.26746
0.601	0.0359678	0.26746
0.602	-0.020092	0.26746
0.603	0.0315052	0.26746
0.604	0.0542402	0.26709
0.605	-0.0150998	0.26709
0.606	-0.0373247	0.26746
0.607	-0.0343711	0.26709
0.608	-0.0767409	0.26746
0.609	-0.0551735	0.26709
0.61	0.0781284	0.26746
0.611	0.0954835	0.26746
0.612	0.0102332	0.26709
0.613	0.0300095	0.26746
0.614	0.0241522	0.26746
0.615	-0.0260907	0.26746
0.616	-0.0942648	0.26746
0.617	-0.125331	0.26709
0.618	-0.0403697	0.26709
0.619	0.127808	0.26709
0.62	0.168529	0.26709
0.621	0.0399138	0.26709
0.622	-0.0506787	0.26709
0.623	-0.0864014	0.26709
0.624	-0.080541	0.26709
0.625	-0.0217097	0.26709
0.626	0.0290722	0.26709
0.627	0.0504709	0.26709
0.628	0.0220171	0.26709
0.629	0.00402541	0.26709
0.63	-0.00481322	0.26709
0.631	0.0232855	0.26709
0.632	0.0249826	0.26709
0.633	-0.0224343	0.26709
0.634	-0.0673328	0.26709
0.635	-0.0496791	0.26709
0.636	0.0369636	0.26709
0.637	0.0307567	0.26709
0.638	0.00170888	0.26709
0.639	0.0438838	0.26709
0.64	0.00047039	0.26709
0.641	-0.00282844	0.26709
0.642	-0.0043889	0.26709
0.643	-0.000872928	0.26709
0.644	-0.0465576	0.26709
0.645	-0.0656773	0.26709
0.646	0.00414993	0.26709
0.647	0.0662892	0.26709
0.648	0.0761449	0.26709
0.649	0.0423371	0.26709
0.65	-0.0201691	0.26709
0.651	-0.0805111	0.26709
0.652	-0.0975397	0.26709
0.653	0.00679133	0.26709
0.654	0.0623654	0.26709
0.655	0.0726901	0.26709
0.656	-0.0367447	0.26709
0.657	-0.0213872	0.26709
0.658	0.0286538	0.26709
0.659	0.0403767	0.26709
0.66	0.0163011	0.26709
0.661	-0.0666865	0.26709
0.662	-0.0955949	0.26709
0.663	-0.0223461	0.26709
0.664	0.0670216	0.26709
0.665	0.07279	0.26709
0.666	0.0512928	0.26709
0.667	0.00499258	0.26709
0.668	-0.0647274	0.26709
0.669	-0.0619796	0.26709
0.67	0.00742128	0.26709
0.671	0.0050959	0.26709
0.672	-0.00739937	0.26709
0.673	-0.0139993	0.26709
