Time	Lead II
7.03	-0.0413647
7.04	0.0400514
7.05	-0.0513868
7.06	0.0383344
7.07	0.023649
7.08	0.0527777
7.09	0.117785
7.1	0.0212292
7.11	0.158038
7.12	0.154592
7.13	0.179774
7.14	0.304405
7.15	0.23506
7.16	0.327281
7.17	0.235642
7.18	0.17316
7.19	0.207074
7.2	0.0570365
7.21	0.0802694
7.22	-0.0258269
7.23	-0.082395
7.24	-0.0341258
7.25	-0.140347
7.26	-0.0635583
7.27	-0.10384
7.28	-0.105924
7.29	-0.0284723
7.3	-0.122024
7.31	-0.0291092
7.32	-0.072871
7.33	-0.0892976
7.34	-0.0300037
7.35	-0.135928
7.36	-0.0301408
7.37	-0.0662427
7.38	-0.0911775
7.39	-0.0339575
7.4	-0.135012
7.41	-0.0401907
7.42	-0.0907708
7.43	-0.114631
7.44	-0.0429262
7.45	-0.150901
7.46	-0.0676635
7.47	-0.106498
7.48	-0.0999482
7.49	-0.0127335
7.5	-0.12779
7.51	-0.0531893
7.52	-0.114206
7.53	-0.140301
7.54	-0.0461962
7.55	-0.132778
7.56	-0.0488422
7.57	-0.0919694
7.58	-0.0887656
7.59	0.0268525
7.6	-0.0437892
7.61	0.0431212
7.62	0.00790304
7.63	-0.0164237
7.64	0.035631
7.65	-0.0766965
7.66	0.00583644
7.67	-0.0465273
7.68	-0.0715807
7.69	0.0114286
7.7	-0.080462
7.71	0.0165903
7.72	-0.0242512
7.73	-0.0392985
7.74	0.0779992
7.75	0.126525
7.76	0.403915
7.77	0.251479
7.78	-0.0745296
7.79	-0.24719
7.8	-0.430344
7.81	-0.249837
7.82	-0.141568
7.83	-0.0786182
7.84	0.0316548
7.85	-0.0418309
7.86	0.0636191
7.87	0.0346656
7.88	0.0298253
7.89	0.129114
7.9	0.0458976
7.91	0.148546
7.92	0.126327
7.93	0.119863
7.94	0.217004
7.95	0.14379
7.96	0.258509
7.97	0.237291
7.98	0.214463
7.99	0.28688
8	0.162069
8.01	0.231518
8.02	0.146882
8.03	0.037636
8.04	0.0444938
8.05	-0.107062
8.06	-0.078223
8.07	-0.158917
8.08	-0.198569
8.09	-0.112121
8.1	-0.204348
8.11	-0.122455
8.12	-0.171304
8.13	-0.199728
8.14	-0.110298
8.15	-0.203386
8.16	-0.118833
8.17	-0.130997
8.18	-0.125582
8.19	-0.0362716
8.2	-0.141928
8.21	-0.0686346
8.22	-0.0951158
8.23	-0.116069
8.24	-0.0345226
8.25	-0.123138
8.26	-0.0370882
8.27	-0.0842832
8.28	-0.12
8.29	-0.034841
8.3	-0.12044
8.31	-0.0302031
8.32	-0.0711208
8.33	-0.107757
8.34	-0.0287612
8.35	-0.120525
8.36	-0.0292201
8.37	-0.0667365
8.38	-0.105905
8.39	-0.0115666
8.4	-0.1098
8.41	-0.0371956
8.42	-0.055052
8.43	-0.0819688
8.44	-0.0118349
8.45	-0.116062
8.46	-0.0328403
8.47	-0.0556657
8.48	-0.0801466
8.49	0.0205907
8.5	-0.0705487
8.51	0.0311289
8.52	0.03693
8.53	0.0147811
8.54	0.0718786
8.55	-0.050517
8.56	0.0026206
8.57	-0.060625
8.58	-0.108033
8.59	-0.0244004
8.6	-0.131524
8.61	-0.0581489
8.62	-0.0782564
8.63	-0.106307
8.64	-0.0131077
8.65	-0.0788482
8.66	0.160077
8.67	0.327869
8.68	0.160826
8.69	-0.070522
8.7	-0.41216
8.71	-0.385055
8.72	-0.291438
8.73	-0.169778
8.74	-0.00235253
8.75	-0.0790209
8.76	0.029678
8.77	0.0476554
8.78	0.0269814
8.79	0.100299
8.8	-0.0007544
8.81	0.0865862
8.82	0.0679586
8.83	0.0461674
8.84	0.175755
8.85	0.134431
8.86	0.237263
8.87	0.237093
8.88	0.235434
8.89	0.352762
8.9	0.274101
8.91	0.349046
8.92	0.292952
8.93	0.226421
8.94	0.261127
8.95	0.08619
8.96	0.10336
8.97	0.0422801
8.98	-0.0233435
8.99	0.0461652
9	-0.0631001
9.01	0.0184673
9.02	-0.00339764
9.03	-0.0686413
9.04	0.0204127
9.05	-0.0591129
9.06	0.0265723
9.07	-0.0270688
9.08	-0.0750796
9.09	0.00735359
9.1	-0.120812
9.11	-0.0306115
9.12	-0.0334623
9.13	-0.0717858
9.14	0.00623495
9.15	-0.084617
9.16	0.00219765
9.17	-0.0397013
9.18	-0.0901916
9.19	-0.0190401
9.2	-0.12908
9.21	-0.0445881
9.22	-0.0610094
9.23	-0.106472
9.24	-0.0190064
9.25	-0.101006
9.26	-0.0287992
9.27	-0.0685113
9.28	-0.108519
9.29	-0.00262765
9.3	-0.10326
9.31	-0.0383634
9.32	-0.0617506
9.33	-0.0970579
9.34	-0.00224081
9.35	-0.101369
9.36	-0.0124049
9.37	-0.00479921
9.38	-0.0322834
9.39	0.0754272
9.4	-0.0326533
9.41	0.0194262
9.42	-0.00467334
9.43	-0.0643659
9.44	-0.00776548
9.45	-0.132245
9.46	-0.0702422
9.47	-0.0799964
9.48	-0.108375
9.49	-0.0158458
9.5	-0.12132
9.51	-0.0410905
9.52	0.0713283
9.53	0.246374
9.54	0.276414
9.55	-0.0823915
9.56	-0.222238
9.57	-0.332695
9.58	-0.31971
9.59	-0.0946768
9.6	-0.105944
9.61	0.0015983
9.62	0.0179519
9.63	-0.0114513
9.64	0.0944243
9.65	0.00749001
9.66	0.0772522
9.67	0.068789
9.68	0.0565748
9.69	0.177066
9.7	0.083878
9.71	0.180383
9.72	0.199384
9.73	0.186143
9.74	0.318794
9.75	0.241812
9.76	0.304604
9.77	0.286064
9.78	0.232573
9.79	0.298972
9.8	0.148867
9.81	0.154774
9.82	0.0954917
9.83	0.0139246
9.84	0.0872774
9.85	-0.0393822
9.86	-3.6901e-05
9.87	-0.0170174
9.88	-0.0597257
9.89	0.0409907
9.9	-0.0660339
9.91	-0.00810461
9.92	-0.0143434
9.93	-0.0712507
9.94	0.0281686
9.95	-0.0795767
9.96	-0.0210351
9.97	-0.0203923
9.98	-0.062642
9.99	0.037232
10	-0.0706314
10.01	-0.012092
10.02	-0.0274743
10.03	-0.0925381
10.04	0.0119402
10.05	-0.081194
10.06	-0.0243735
10.07	-0.0255738
10.08	-0.0836879
10.09	-0.000105566
10.1	-0.113765
10.11	-0.0409469
10.12	-0.040905
10.13	-0.0975265
10.14	-0.00295305
10.15	-0.0994642
10.16	-0.0327579
10.17	-0.0387766
10.18	-0.099614
10.19	0.000207425
10.2	-0.105861
10.21	-0.0532009
10.22	-0.0546999
10.23	-0.0976136
10.24	0.0203431
10.25	-0.0702045
10.26	-0.0207682
10.27	-0.0372406
10.28	-0.108187
10.29	0.00504018
10.3	-0.027151
10.31	0.0871728
10.32	0.0689099
10.33	-0.0220845
10.34	0.0572635
10.35	-0.0541281
10.36	-0.0111022
10.37	-0.037748
10.38	-0.095228
10.39	0.00503169
10.4	-0.104916
10.41	-0.0494149
10.42	-0.0443428
10.43	-0.0776943
10.44	0.0582726
10.45	0.0979317
10.46	0.353859
10.47	0.265918
10.48	-0.0976643
10.49	-0.27367
10.5	-0.481324
10.51	-0.322345
10.52	-0.148954
10.53	-0.0940793
10.54	0.0608251
10.55	-0.0290511
10.56	0.0423919
10.57	0.0754665
10.58	0.0208381
10.59	0.123861
10.6	0.049292
10.61	0.112673
10.62	0.118874
