Time	Lead II
7.1	0.148699
7.11	0.186192
7.12	0.182386
7.13	0.207964
7.14	0.194272
7.15	0.19713
7.16	0.213822
7.17	0.216417
7.18	0.220569
7.19	0.161928
7.2	0.128425
7.21	0.114649
7.22	0.130159
7.23	0.173147
7.24	0.152332
7.25	0.144037
7.26	0.12563
7.27	0.0855261
7.28	0.0848149
7.29	0.059206
7.3	0.101735
7.31	0.128853
7.32	0.111835
7.33	0.133378
7.34	0.110498
7.35	0.101884
7.36	0.115282
7.37	0.13032
7.38	0.149612
7.39	0.0752207
7.4	0.040732
7.41	0.0142756
7.42	-0.0520492
7.43	-0.0804059
7.44	-0.12996
7.45	-0.103151
7.46	-0.0938651
7.47	-0.141805
7.48	-0.12004
7.49	-0.137218
7.5	-0.125877
7.51	-0.116987
7.52	-0.121693
7.53	-0.0613612
7.54	-0.0529496
7.55	-0.0427642
7.56	-0.029149
7.57	-0.0312084
7.58	0.0304802
7.59	0.0376812
7.6	0.0576736
7.61	0.0557566
7.62	-0.028055
7.63	-0.0711086
7.64	-0.128202
7.65	-0.148544
7.66	-0.163777
7.67	-0.196507
7.68	-0.163958
7.69	-0.161929
7.7	-0.131489
7.71	-0.0750191
7.72	-0.0634876
7.73	-0.0275667
7.74	0.0123941
7.75	0.210809
7.76	0.265707
7.77	0.0349075
7.78	-0.192301
7.79	-0.338056
7.8	-0.285504
7.81	-0.163657
7.82	-0.109696
7.83	-0.0743179
7.84	-0.12113
7.85	-0.123233
7.86	-0.10925
7.87	-0.119187
7.88	-0.0451915
7.89	-0.0334251
7.9	0.0324669
7.91	0.115456
7.92	0.142379
7.93	0.174521
7.94	0.163817
7.95	0.189568
7.96	0.198149
7.97	0.16151
7.98	0.192093
7.99	0.185149
8	0.19682
8.01	0.187982
8.02	0.13678
8.03	0.138921
8.04	0.0805845
8.05	0.0575853
8.06	0.0645057
8.07	0.0412551
8.08	0.0591616
8.09	0.0323109
8.1	0.0453019
8.11	0.0665763
8.12	0.0403945
8.13	0.0492977
8.14	0.0283145
8.15	0.0436342
8.16	0.0534971
8.17	0.0200664
8.18	0.0463929
8.19	0.026976
8.2	0.012824
8.21	-0.0261301
8.22	-0.0593158
8.23	-0.0266739
8.24	-0.0935534
8.25	-0.0782094
8.26	-0.019364
8.27	-0.0664579
8.28	-0.0241629
8.29	0.00375427
8.3	0.0156658
8.31	-0.0174514
8.32	-0.0525787
8.33	-0.0278466
8.34	-0.0716905
8.35	-0.0882386
8.36	-0.0636335
8.37	-0.0801821
8.38	-0.0962714
8.39	-0.145647
8.4	-0.0654553
8.41	0.0304304
8.42	0.0457767
8.43	0.07148
8.44	0.0393323
8.45	0.027842
8.46	0.00325525
8.47	-0.0683816
8.48	-0.0848811
8.49	-0.111636
8.5	-0.117585
8.51	-0.142382
8.52	-0.166781
8.53	-0.116772
8.54	-0.119854
8.55	-0.111671
8.56	-0.090092
8.57	-0.0110948
8.58	0.226235
8.59	0.200518
8.6	-0.0458538
8.61	-0.292462
8.62	-0.410234
8.63	-0.302287
