Time	Lead II
6.25	-0.0400912
6.26	-0.0460666
6.27	-0.0353599
6.28	-0.0471341
6.29	-0.0450678
6.3	-0.0384727
6.31	-0.0252775
6.32	-0.0279078
6.33	-0.0556376
6.34	-0.0523321
6.35	-0.0580405
6.36	-0.0620395
6.37	-0.055628
6.38	-0.0684194
6.39	-0.0587938
6.4	-0.0638788
6.41	-0.0666012
6.42	-0.0582152
6.43	-0.0706296
6.44	-0.0630136
6.45	-0.0658808
6.46	-0.0658588
6.47	-0.0535464
6.48	-0.0550738
6.49	-0.0321491
6.5	-0.0202565
6.51	-0.00414374
6.52	0.0235128
6.53	0.018751
6.54	0.0141061
6.55	-0.0113235
6.56	-0.0297665
6.57	-0.0382669
6.58	-0.068079
6.59	-0.0744091
6.6	-0.0901395
6.61	-0.0987213
6.62	-0.0874026
6.63	-0.0929862
6.64	-0.0799419
6.65	-0.0832663
6.66	-0.0736685
6.67	-0.021311
6.68	0.158539
6.69	0.381941
6.7	0.248576
6.71	-0.0757038
6.72	-0.290414
6.73	-0.328264
6.74	-0.215337
6.75	-0.108402
6.76	-0.0532462
6.77	-0.024558
6.78	-0.0272188
6.79	-0.00872274
6.8	0.000256588
6.81	0.00929211
6.82	0.0281107
6.83	0.0247351
6.84	0.0438633
6.85	0.055742
6.86	0.0670238
6.87	0.0950265
6.88	0.11497
6.89	0.16099
6.9	0.198775
6.91	0.237501
6.92	0.28924
6.93	0.31235
6.94	0.336529
6.95	0.325206
6.96	0.286837
6.97	0.236508
6.98	0.1543
6.99	0.0957864
7	0.0409108
7.01	0.0031613
7.02	-0.0126767
7.03	-0.0391515
7.04	-0.0359629
7.05	-0.0431088
7.06	-0.0500239
7.07	-0.0413805
7.08	-0.0537787
7.09	-0.0466022
7.1	-0.0485256
7.11	-0.0523821
7.12	-0.0433237
7.13	-0.0487268
7.14	-0.0320869
7.15	-0.0323927
7.16	-0.040449
7.17	-0.0322715
7.18	-0.040227
7.19	-0.0284617
7.2	-0.0313058
7.21	-0.0382438
7.22	-0.0327756
7.23	-0.0452873
7.24	-0.0336718
7.25	-0.0358348
7.26	-0.0421331
7.27	-0.0337707
7.28	-0.0481971
7.29	-0.0455391
7.3	-0.0479389
7.31	-0.0514705
7.32	-0.0441683
7.33	-0.056027
7.34	-0.0459399
7.35	-0.0467618
7.36	-0.0494069
7.37	-0.0371579
7.38	-0.0452706
7.39	-0.0399839
7.4	-0.0494025
7.41	-0.0583687
7.42	-0.0462781
7.43	-0.0464027
7.44	-0.0233263
7.45	-0.0040218
7.46	0.0072659
7.47	0.0304117
7.48	0.0232117
7.49	0.0178576
7.5	-0.00389153
7.51	-0.0288552
7.52	-0.0400377
7.53	-0.0660578
7.54	-0.0696006
7.55	-0.0796938
7.56	-0.0860726
7.57	-0.0742846
7.58	-0.0865261
7.59	-0.0798352
7.6	-0.0724329
7.61	-0.0592378
7.62	0.0232963
7.63	0.254593
7.64	0.405824
7.65	0.180594
7.66	-0.145602
7.67	-0.30681
7.68	-0.30033
7.69	-0.178574
7.7	-0.0854137
7.71	-0.0471612
7.72	-0.0225382
7.73	-0.0263436
